Subject,Start Date,Start Time,End Date,End Time,All day Event,Description
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,13/02/2026,7:00:00 a.m.,13/02/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,13/02/2026,4:00:00 p.m.,13/02/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,13/02/2026,12:00:00 p.m.,13/02/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,13/02/2026,10:00:00 a.m.,13/02/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,16/02/2026,4:00:00 p.m.,16/02/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,16/02/2026,2:00:00 p.m.,16/02/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,16/02/2026,8:00:00 a.m.,16/02/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,17/02/2026,4:00:00 p.m.,17/02/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,17/02/2026,7:00:00 a.m.,17/02/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,17/02/2026,2:00:00 p.m.,17/02/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,18/02/2026,4:00:00 p.m.,18/02/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,18/02/2026,2:00:00 p.m.,18/02/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,18/02/2026,10:00:00 a.m.,18/02/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,18/02/2026,12:00:00 p.m.,18/02/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,19/02/2026,2:00:00 p.m.,19/02/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,20/02/2026,7:00:00 a.m.,20/02/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,20/02/2026,4:00:00 p.m.,20/02/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,20/02/2026,12:00:00 p.m.,20/02/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,20/02/2026,10:00:00 a.m.,20/02/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,23/02/2026,4:00:00 p.m.,23/02/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,23/02/2026,2:00:00 p.m.,23/02/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,23/02/2026,8:00:00 a.m.,23/02/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,24/02/2026,4:00:00 p.m.,24/02/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,24/02/2026,7:00:00 a.m.,24/02/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,24/02/2026,2:00:00 p.m.,24/02/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,25/02/2026,4:00:00 p.m.,25/02/2026,6:00:00 p.m.,FALSE,
